Perfume Name,Wilson Score,Thumbs Up,Thumbs Down,Img Url
Dark Vanilla Montale (unisex) ~ 2020,0.34869,45,57,https://fimgs.net/mdimg/perfume/270x270.64050.jpg
Santal Pao Rosa Guerlain (unisex) ~ 2021,0.35659,41,49,https://fimgs.net/mdimg/perfume/270x270.69065.jpg
New York Intense Fragrance Du Bois (unisex) ~ 2020,0.37432,35,37,https://fimgs.net/mdimg/perfume/270x270.61857.jpg
Reliqvia Filippo Sorcinelli (unisex) ~ 2021,0.39162,30,28,https://fimgs.net/mdimg/perfume/270x270.69497.jpg
Tres Nuit Lyric Armaf (male) ~ 2020,0.43328,25,18,https://fimgs.net/mdimg/perfume/270x270.70100.jpg
Bois Impérial Essential Parfums (unisex) ~ 2020,0.35273,37,44,https://fimgs.net/mdimg/perfume/270x270.64338.jpg
Snowy Owl Zoologist Perfumes (unisex) ~ 2020,0.33136,48,67,https://fimgs.net/mdimg/perfume/270x270.64381.jpg
The One Gold For Men Dolce&Gabbana (male) ~ 2021,0.32584,51,74,https://fimgs.net/mdimg/perfume/270x270.69000.jpg
The Inimitable William Penhaligon Penhaligon's (male) ~ 2020,0.38329,25,23,https://fimgs.net/mdimg/perfume/270x270.63969.jpg
Homem Re.Conecta Natura (male) ~ 2021,0.36886,26,26,https://fimgs.net/mdimg/perfume/270x270.70857.jpg
Hero Burberry (male) ~ 2021,0.31036,79,133,https://fimgs.net/mdimg/perfume/270x270.68627.jpg
Vetiver Root Korres (unisex) ~ 2020,0.34909,29,33,https://fimgs.net/mdimg/perfume/270x270.63256.jpg
Grandenia Areej Le Doré (unisex) ~ 2020,0.34048,32,39,https://fimgs.net/mdimg/perfume/270x270.63104.jpg
Brioni Eau de Parfum Brioni (male) ~ 2021,0.37935,23,21,https://fimgs.net/mdimg/perfume/270x270.66300.jpg
Météore Louis Vuitton (male) ~ 2020,0.32542,38,52,https://fimgs.net/mdimg/perfume/270x270.62251.jpg
Material Amouage (unisex) ~ 2021,0.33769,31,38,https://fimgs.net/mdimg/perfume/270x270.66527.jpg
Velvet Tonka BDK Parfums (unisex) ~ 2021,0.37722,22,20,https://fimgs.net/mdimg/perfume/270x270.68119.jpg
Le Male Eau de Toilette Airlines Jean Paul Gaultier (male) ~ 2020,0.38384,20,17,https://fimgs.net/mdimg/perfume/270x270.60944.jpg
Essencial Oud Vanilla Natura (male) ~ 2021,0.32123,35,48,https://fimgs.net/mdimg/perfume/270x270.67957.jpg
Riflesso Blue Vibe Limited Edition Trussardi (male) ~ 2020,0.35832,22,22,https://fimgs.net/mdimg/perfume/270x270.59825.jpg
Le Gemme Empyr Bvlgari (male) ~ 2021,0.38189,19,16,https://fimgs.net/mdimg/perfume/270x270.69493.jpg
On The Beach Louis Vuitton (unisex) ~ 2021,0.36484,21,20,https://fimgs.net/mdimg/perfume/270x270.66060.jpg
Chinese Oud Areej Le Doré (unisex) ~ 2021,0.35832,22,22,https://fimgs.net/mdimg/perfume/270x270.66041.jpg
Seduction Pour Homme Armaf (male) ~ 2020,0.37259,20,18,https://fimgs.net/mdimg/perfume/270x270.64455.jpg
