Perfume Name,Final Z-Score,Number of Categories,Img Url
Ambra Eau de Parfum Acqua di Parma (unisex) ~ 2019,0.783327801747981,1,https://fimgs.net/mdimg/perfume/270x270.56000.jpg
Aqua Allegoria Orange Soleia Guerlain (unisex) ~ 2020,0.7828161301028874,1,https://fimgs.net/mdimg/perfume/270x270.58967.jpg
Dior Homme Original Dior (male) ~ 2021,0.7826861378471068,5,https://fimgs.net/mdimg/perfume/270x270.69010.jpg
Gentleman Eau de Toilette Intense Givenchy (male) ~ 2021,0.7824796253272855,3,https://fimgs.net/mdimg/perfume/270x270.65051.jpg
London for Men Burberry (male) ~ 2006,0.7822307039864292,3,https://fimgs.net/mdimg/perfume/270x270.804.jpg
Versace Man Eau Fraiche Versace (male) ~ 2006,0.7813364310211307,3,https://fimgs.net/mdimg/perfume/270x270.644.jpg
By the Fireplace Maison Martin Margiela (unisex) ~ 2015,0.7812857248220673,3,https://fimgs.net/mdimg/perfume/270x270.31623.jpg
Jaipur Homme Boucheron (male) ~ 1998,0.7810252793450603,2,https://fimgs.net/mdimg/perfume/270x270.137.jpg
Club de Nuit Intense Man Limited Edition Parfum Armaf (male) ~ 2021,0.7804237194379908,1,https://fimgs.net/mdimg/perfume/270x270.77861.jpg
Acqua di Giò Profondo Giorgio Armani (male) ~ 2020,0.779920345170926,5,https://fimgs.net/mdimg/perfume/270x270.59532.jpg
Elysium Pour Homme Parfum Cologne Roja Dove (male) ~ 2017,0.7778423129402219,3,https://fimgs.net/mdimg/perfume/270x270.46296.jpg
Wood Sage & Sea Salt Cologne Jo Malone London (unisex) ~ 2022,0.7775887819449053,1,https://fimgs.net/mdimg/perfume/270x270.74041.jpg
Gris Charnel Extrait BDK Parfums (unisex) ~ 2022,0.7767590441420511,3,https://fimgs.net/mdimg/perfume/270x270.73645.jpg
Emporio Armani Stronger With You Oud Giorgio Armani (male) ~ 2022,0.7755420953645314,1,https://fimgs.net/mdimg/perfume/270x270.76171.jpg
Opium Pour Homme Eau de Parfum Yves Saint Laurent (male) ~ 1995,0.7745049231109636,3,https://fimgs.net/mdimg/perfume/270x270.28179.jpg
Acqua di Giò Eau de Parfum Giorgio Armani (male) ~ 2022,0.7744496072574399,1,https://fimgs.net/mdimg/perfume/270x270.71606.jpg
Explorer Montblanc (male) ~ 2019,0.774221429361655,4,https://fimgs.net/mdimg/perfume/270x270.52002.jpg
Sticky Fingers Francesca Bianchi (unisex) ~ 2020,0.7735887542869786,4,https://fimgs.net/mdimg/perfume/270x270.61631.jpg
Le Male Le Parfum Jean Paul Gaultier (male) ~ 2020,0.7728260869565218,5,https://fimgs.net/mdimg/perfume/270x270.61856.jpg
Bengale Rouge Papillon Artisan Perfumes (unisex) ~ 2019,0.7714072353136409,1,https://fimgs.net/mdimg/perfume/270x270.55667.jpg
Red Tobacco Mancera (unisex) ~ 2017,0.771287384297673,3,https://fimgs.net/mdimg/perfume/270x270.46663.jpg
Panthea Iris Stéphane Humbert Lucas 777 (unisex) ~ 2019,0.7706881292178338,1,https://fimgs.net/mdimg/perfume/270x270.54939.jpg
Cedrat Boise Mancera (unisex) ~ 2011,0.7704576464948187,3,https://fimgs.net/mdimg/perfume/270x270.15211.jpg
Polo Ralph Lauren (male) ~ 1978,0.7699828520854076,3,https://fimgs.net/mdimg/perfume/270x270.890.jpg
Grey Vetiver Eau de Toilette Tom Ford (male) ~ 2014,0.7690009956853634,2,https://fimgs.net/mdimg/perfume/270x270.28459.jpg
Paco Rabanne Pour Homme Paco Rabanne (male) ~ 1973,0.768383301987683,3,https://fimgs.net/mdimg/perfume/270x270.526.jpg
Oud Rosewood Dior (unisex) ~ 2020,0.7675420400486779,2,https://fimgs.net/mdimg/perfume/270x270.60318.jpg
L'Instant de Guerlain pour Homme EDT Guerlain (male) ~ 2016,0.7674452373050117,2,https://fimgs.net/mdimg/perfume/270x270.44762.jpg
Narciso Rodriguez for Him Narciso Rodriguez (male) ~ 2007,0.765313272117122,3,https://fimgs.net/mdimg/perfume/270x270.1063.jpg
Dior Homme Intense 2007 Dior (male) ~ 2007,0.7650735700851863,2,https://fimgs.net/mdimg/perfume/270x270.1771.jpg
Narciso Rodriguez For Him Bleu Noir Eau De Toilette Extreme Narciso Rodriguez (male) ~ 2020,0.7647762473724969,2,https://fimgs.net/mdimg/perfume/270x270.59238.jpg
Ultra Male Jean Paul Gaultier (male) ~ 2015,0.7641378102297451,3,https://fimgs.net/mdimg/perfume/270x270.30947.jpg
The Dreamer Versace (male) ~ 2010,0.762091123649371,3,https://fimgs.net/mdimg/perfume/270x270.59417.jpg
Bergamotto di Calabria La Spugnatura Acqua di Parma (unisex) ~ 2021,0.7613190065272707,2,https://fimgs.net/mdimg/perfume/270x270.66175.jpg
L'Homme Idéal L'Intense Guerlain (male) ~ 2018,0.7601596784305048,3,https://fimgs.net/mdimg/perfume/270x270.49416.jpg
Sintra Memo Paris (unisex) ~ 2020,0.760115886713132,2,https://fimgs.net/mdimg/perfume/270x270.62837.jpg
Orphéon Eau de Parfum Diptyque (unisex) ~ 2021,0.7599222812257993,4,https://fimgs.net/mdimg/perfume/270x270.65738.jpg
Le Male Jean Paul Gaultier (male) ~ 1995,0.7598001253826013,3,https://fimgs.net/mdimg/perfume/270x270.430.jpg
L’Homme Ideal Cologne Guerlain (male) ~ 2015,0.7574031050632445,3,https://fimgs.net/mdimg/perfume/270x270.30620.jpg
Layton Exclusif Parfums de Marly (unisex) ~ 2017,0.7571288306228565,2,https://fimgs.net/mdimg/perfume/270x270.46633.jpg
CH Men Prive Carolina Herrera (male) ~ 2015,0.7565687576059298,3,https://fimgs.net/mdimg/perfume/270x270.31508.jpg
Sandalo Eau de Parfum Acqua di Parma (unisex) ~ 2019,0.7564442969355017,1,https://fimgs.net/mdimg/perfume/270x270.56002.jpg
Habit Rouge Eau de Parfum Guerlain (male) ~ 1965,0.7548263082199358,3,https://fimgs.net/mdimg/perfume/270x270.25313.jpg
Sauvage Elixir Dior (male) ~ 2021,0.7544287255227348,4,https://fimgs.net/mdimg/perfume/270x270.68415.jpg
Armani Eau Pour Homme Giorgio Armani (male) ~ 1984,0.7528672050743075,3,https://fimgs.net/mdimg/perfume/270x270.409.jpg
Tobacco Oud Tom Ford (unisex) ~ 2013,0.7526228933879117,3,https://fimgs.net/mdimg/perfume/270x270.21402.jpg
Carlisle Parfums de Marly (unisex) ~ 2015,0.7524523361728804,3,https://fimgs.net/mdimg/perfume/270x270.33514.jpg
Club de Nuit Intense Man Parfum Armaf (male) ~ 2022,0.7516387321606373,2,https://fimgs.net/mdimg/perfume/270x270.72842.jpg
Musc Ravageur Frederic Malle (unisex) ~ 2000,0.7506914481690452,3,https://fimgs.net/mdimg/perfume/270x270.1801.jpg
Wanted by Night Azzaro (male) ~ 2018,0.7496957628056201,3,https://fimgs.net/mdimg/perfume/270x270.49144.jpg
Le Beau Le Parfum Jean Paul Gaultier (male) ~ 2022,0.7489075118929085,2,https://fimgs.net/mdimg/perfume/270x270.72158.jpg
Colonia Intensa Acqua di Parma (male) ~ 2007,0.7472111590515175,3,https://fimgs.net/mdimg/perfume/270x270.1684.jpg
Bvlgari Extreme Bvlgari (male) ~ 1999,0.7460864033632039,2,https://fimgs.net/mdimg/perfume/270x270.157.jpg
Gucci Guilty Absolute Gucci (male) ~ 2017,0.7459849909650772,3,https://fimgs.net/mdimg/perfume/270x270.43040.jpg
Rose & Cuir Frederic Malle (unisex) ~ 2019,0.7459826861378471,2,https://fimgs.net/mdimg/perfume/270x270.56516.jpg
Cool Water Davidoff (male) ~ 1988,0.742481653575248,3,https://fimgs.net/mdimg/perfume/270x270.507.jpg
Light Blue Eau Intense Pour Homme Dolce&Gabbana (male) ~ 2017,0.7422096839620902,3,https://fimgs.net/mdimg/perfume/270x270.44035.jpg
Pour Monsieur Eau de Parfum Chanel (male) ~ 2016,0.7420276026109083,2,https://fimgs.net/mdimg/perfume/270x270.43001.jpg
Vetiver & Golden Vanilla Jo Malone London (unisex) ~ 2020,0.7418063391968139,2,https://fimgs.net/mdimg/perfume/270x270.58393.jpg
Encre Noire Sport Lalique (male) ~ 2013,0.7412462661798872,3,https://fimgs.net/mdimg/perfume/270x270.21369.jpg
Black Bvlgari (unisex) ~ 1998,0.7408636648596822,3,https://fimgs.net/mdimg/perfume/270x270.154.jpg
Bois Mystérieux Guerlain (unisex) ~ 2019,0.738646421064277,3,https://fimgs.net/mdimg/perfume/270x270.53241.jpg
Tuxedo Yves Saint Laurent (unisex) ~ 2015,0.7385542279750711,3,https://fimgs.net/mdimg/perfume/270x270.32269.jpg
The Most Wanted Azzaro (male) ~ 2021,0.7373222978205555,4,https://fimgs.net/mdimg/perfume/270x270.66826.jpg
Oud for Greatness Initio Parfums Prives (unisex) ~ 2018,0.7357930449533503,3,https://fimgs.net/mdimg/perfume/270x270.53641.jpg
Tsar Van Cleef & Arpels (male) ~ 1989,0.7351983995279714,3,https://fimgs.net/mdimg/perfume/270x270.1098.jpg
Dior Homme Sport 2021 Dior (male) ~ 2022,0.7348019692443853,2,https://fimgs.net/mdimg/perfume/270x270.71326.jpg
Dune Pour Homme Dior (male) ~ 1997,0.7347282147730205,3,https://fimgs.net/mdimg/perfume/270x270.235.jpg
